data,hora,radiacao_global
2023-01-14,1700 UTC,
2023-01-14,1800 UTC,
2023-01-14,1900 UTC,
2023-01-14,2000 UTC,
2023-01-14,2100 UTC,
2023-01-14,2200 UTC,89.0
2023-01-15,1000 UTC,
2023-01-15,1100 UTC,
2023-01-15,1200 UTC,
2023-01-15,1300 UTC,
2023-01-15,1400 UTC,
2023-01-15,1500 UTC,
2023-01-15,1600 UTC,3958.0
2023-01-15,1700 UTC,
2023-01-15,1800 UTC,
2023-01-15,1900 UTC,
2023-01-15,2000 UTC,1784.0
2023-01-15,2100 UTC,
2023-01-15,2200 UTC,
2023-01-16,0900 UTC,
2023-01-16,1000 UTC,
2023-01-16,1100 UTC,511.0
2023-01-16,1200 UTC,
2023-01-16,1300 UTC,2703.0
2023-01-16,1400 UTC,
2023-01-16,1500 UTC,
2023-01-16,1600 UTC,
2023-01-16,1700 UTC,
2023-01-16,1800 UTC,
2023-01-16,1900 UTC,
2023-01-16,2000 UTC,
2023-01-16,2100 UTC,
2023-01-16,2200 UTC,
2023-01-17,0900 UTC,
2023-01-17,1000 UTC,
2023-01-17,1100 UTC,1033.0
2023-01-17,1200 UTC,
2023-01-17,1300 UTC,
2023-01-17,1400 UTC,
2023-01-17,1500 UTC,
2023-01-17,1600 UTC,
2023-01-17,1700 UTC,
2023-01-17,1800 UTC,
2023-01-17,1900 UTC,
2023-01-17,2000 UTC,
2023-01-17,2100 UTC,
2023-01-17,2200 UTC,151.0
2023-01-18,1000 UTC,
2023-01-18,1100 UTC,
2023-01-18,1200 UTC,
2023-01-18,1300 UTC,
2023-01-18,1400 UTC,
2023-01-18,1500 UTC,
2023-01-18,1600 UTC,
2023-01-18,1700 UTC,
2023-01-18,1800 UTC,
2023-01-18,1900 UTC,
2023-01-18,2000 UTC,
2023-01-18,2100 UTC,
2023-01-18,2200 UTC,
2023-01-19,1000 UTC,288.0
2023-01-19,1100 UTC,
2023-01-19,1200 UTC,
2023-01-19,1300 UTC,
2023-01-19,1400 UTC,
2023-01-19,1500 UTC,1942.0
2023-01-19,1600 UTC,
2023-01-19,1700 UTC,
2023-01-19,1800 UTC,
2023-01-19,1900 UTC,
2023-01-19,2000 UTC,
2023-01-19,2100 UTC,
2023-01-19,2200 UTC,
2023-01-20,1000 UTC,
2023-01-20,1100 UTC,
2023-01-20,1200 UTC,
2023-01-20,1300 UTC,
2023-01-20,1400 UTC,
2023-01-20,1500 UTC,
2023-01-20,1600 UTC,
2023-01-20,1700 UTC,
2023-01-20,1800 UTC,
2023-01-20,1900 UTC,
2023-01-20,2000 UTC,
2023-01-20,2100 UTC,
2023-01-20,2200 UTC,
2023-01-21,1000 UTC,
2023-01-21,1100 UTC,
2023-01-21,1200 UTC,
2023-01-21,1300 UTC,
2023-01-21,1400 UTC,3023.0
2023-01-21,1500 UTC,
2023-01-21,1600 UTC,
2023-01-21,1700 UTC,
2023-01-21,1800 UTC,
2023-01-21,1900 UTC,
2023-01-21,2000 UTC,
2023-01-21,2100 UTC,
2023-01-21,2200 UTC,
2023-01-22,1000 UTC,
2023-01-22,1100 UTC,700.0
2023-01-22,1200 UTC,
2023-01-22,1300 UTC,
2023-01-22,1400 UTC,
2023-01-22,1500 UTC,
2023-01-22,1600 UTC,
2023-01-22,1700 UTC,
2023-01-22,1800 UTC,
2023-01-22,1900 UTC,2685.0
2023-01-22,2000 UTC,
2023-01-22,2100 UTC,
2023-01-22,2200 UTC,
2023-01-23,1000 UTC,
2023-01-23,1100 UTC,
2023-01-23,1200 UTC,
2023-01-23,1300 UTC,
2023-01-23,1400 UTC,
2023-01-23,1500 UTC,
2023-01-23,1600 UTC,
2023-01-23,1700 UTC,
2023-01-23,1800 UTC,
2023-01-23,1900 UTC,
2023-01-23,2000 UTC,
2023-01-23,2100 UTC,
2023-01-23,2200 UTC,103.0
2023-01-24,1000 UTC,
2023-01-24,1100 UTC,
2023-01-24,1200 UTC,1810.0
2023-01-24,1300 UTC,2580.0
2023-01-24,1400 UTC,
2023-01-24,1500 UTC,
2023-01-24,1600 UTC,
2023-01-24,1700 UTC,
2023-01-24,1800 UTC,
2023-01-24,1900 UTC,
2023-01-24,2000 UTC,
2023-01-24,2100 UTC,
2023-01-24,2200 UTC,
2023-01-25,1000 UTC,
2023-01-25,1100 UTC,
2023-01-25,1200 UTC,
2023-01-25,1300 UTC,
2023-01-25,1400 UTC,
2023-01-25,1500 UTC,3097.0
2023-01-25,1600 UTC,
2023-01-25,1700 UTC,
2023-01-25,1800 UTC,
2023-01-25,1900 UTC,
2023-01-25,2000 UTC,
2023-01-25,2100 UTC,
2023-01-25,2200 UTC,
2023-01-26,1000 UTC,
2023-01-26,1100 UTC,
2023-01-26,1200 UTC,
2023-01-26,1300 UTC,
2023-01-26,1400 UTC,
2023-01-26,1500 UTC,
2023-01-26,1600 UTC,
2023-01-26,1700 UTC,
2023-01-26,1800 UTC,
2023-01-26,1900 UTC,
2023-01-26,2000 UTC,
2023-01-26,2100 UTC,
2023-01-26,2200 UTC,
2023-01-27,1000 UTC,152.0
2023-01-27,1100 UTC,
2023-01-27,1200 UTC,
2023-01-27,1300 UTC,
2023-01-27,1400 UTC,
2023-01-27,1500 UTC,
2023-01-27,1600 UTC,
2023-01-27,1700 UTC,
2023-01-27,1800 UTC,
2023-01-27,1900 UTC,
2023-01-27,2000 UTC,
2023-01-27,2100 UTC,
2023-01-27,2200 UTC,
2023-01-28,1000 UTC,
2023-01-28,1100 UTC,
2023-01-28,1200 UTC,
2023-01-28,1300 UTC,
2023-01-28,1400 UTC,
2023-01-28,1500 UTC,
2023-01-28,1600 UTC,
2023-01-28,1700 UTC,
2023-01-28,1800 UTC,
2023-01-28,1900 UTC,
2023-01-28,2000 UTC,
2023-01-28,2100 UTC,
2023-01-28,2200 UTC,
2023-01-29,1000 UTC,
2023-01-29,1100 UTC,
2023-01-29,1200 UTC,
2023-01-29,1300 UTC,
2023-01-29,1400 UTC,
2023-01-29,1500 UTC,
2023-01-29,1600 UTC,
2023-01-29,1700 UTC,
2023-01-29,1800 UTC,
2023-01-29,1900 UTC,
2023-01-29,2000 UTC,
2023-01-29,2100 UTC,
2023-01-29,2200 UTC,
2023-01-30,1000 UTC,
2023-01-30,1100 UTC,
2023-01-30,1200 UTC,
2023-01-30,1300 UTC,
2023-01-30,1400 UTC,2260.0
2023-01-30,1500 UTC,
2023-01-30,1600 UTC,2675.0
2023-01-30,1700 UTC,
2023-01-30,1800 UTC,
2023-01-30,1900 UTC,
2023-01-30,2000 UTC,684.0
2023-01-30,2100 UTC,
2023-01-30,2200 UTC,
2023-01-31,1000 UTC,
2023-01-31,1100 UTC,
2023-01-31,1200 UTC,
2023-01-31,1300 UTC,
2023-01-31,1400 UTC,
2023-01-31,1500 UTC,
2023-01-31,1600 UTC,
2023-01-31,1700 UTC,
2023-01-31,1800 UTC,
2023-01-31,1900 UTC,
2023-01-31,2000 UTC,
2023-01-31,2100 UTC,
2023-01-31,2200 UTC,
2023-02-01,1000 UTC,
2023-02-01,1100 UTC,
2023-02-01,1200 UTC,1923.0
2023-02-01,1300 UTC,
2023-02-01,1400 UTC,3031.0
2023-02-01,1500 UTC,3292.0
2023-02-01,1600 UTC,
2023-02-01,1700 UTC,
2023-02-01,1800 UTC,
2023-02-01,1900 UTC,1800.0
2023-02-01,2000 UTC,
2023-02-01,2100 UTC,
2023-02-01,2200 UTC,
2023-02-02,1000 UTC,
2023-02-02,1100 UTC,
2023-02-02,1200 UTC,
2023-02-02,1300 UTC,
2023-02-02,1400 UTC,
2023-02-02,1500 UTC,
2023-02-02,1600 UTC,
2023-02-02,1700 UTC,
2023-02-02,1800 UTC,
2023-02-02,1900 UTC,
2023-02-02,2000 UTC,
2023-02-02,2100 UTC,641.0
2023-02-02,2200 UTC,
2023-02-03,1000 UTC,
